cx,time,num_qubits,cardinality,method
,0.04915306499970029,3,$m = n$,sota
3.0,0.0015215660005196696,3,$m = n$,ours
5.0,0.058743820999552554,3,$m = n$,m-flow
23.0,0.04418205699948885,4,$m = n$,sota
6.0,0.3643193899997641,4,$m = n$,ours
10.0,0.011195727000085753,4,$m = n$,m-flow
25.0,0.04486845799965522,5,$m = n$,sota
12.0,0.47333416900073644,5,$m = n$,ours
16.0,0.01429821500005346,5,$m = n$,m-flow
337.0,0.044929059999958554,6,$m = n$,sota
12.0,0.03952643800039368,6,$m = n$,ours
16.0,0.017995113999859313,6,$m = n$,m-flow
152.0,0.045023385999229504,7,$m = n$,sota
19.0,2.875646976000098,7,$m = n$,ours
30.0,0.019338226999934705,7,$m = n$,m-flow
419.0,0.04453920200012362,8,$m = n$,sota
27.0,0.03994162199978746,8,$m = n$,ours
42.0,0.02860309999960009,8,$m = n$,m-flow
324.0,0.04782431599960546,9,$m = n$,sota
42.0,0.46524944599968876,9,$m = n$,ours
51.0,0.031859511000220664,9,$m = n$,m-flow
617.0,0.046348271000169916,10,$m = n$,sota
39.0,2.9602712979994976,10,$m = n$,ours
55.0,0.03391116500006319,10,$m = n$,m-flow
584.0,0.04527240199968219,11,$m = n$,sota
53.0,0.46714681399953406,11,$m = n$,ours
91.0,0.04794144600055006,11,$m = n$,m-flow
898.0,0.04437521699946956,12,$m = n$,sota
75.0,0.0075250859999869135,12,$m = n$,ours
105.0,0.05044876900046802,12,$m = n$,m-flow
985.0,0.04391607199977443,13,$m = n$,sota
73.0,0.04670031299974653,13,$m = n$,ours
101.0,0.05532624200077407,13,$m = n$,m-flow
1062.0,0.06925907200002257,14,$m = n$,sota
93.0,0.010469584000020404,14,$m = n$,ours
138.0,0.0672732309994899,14,$m = n$,m-flow
1252.0,0.07221515199944406,15,$m = n$,sota
102.0,0.011385212000277534,15,$m = n$,ours
144.0,0.07338016599987895,15,$m = n$,m-flow
1241.0,0.07684652599982655,16,$m = n$,sota
131.0,0.013225263999629533,16,$m = n$,ours
174.0,0.07562242400035757,16,$m = n$,m-flow
1391.0,0.07033712300017214,17,$m = n$,sota
134.0,0.01500382699941838,17,$m = n$,ours
208.0,0.09021759200004453,17,$m = n$,m-flow
1328.0,0.09151018200009275,18,$m = n$,sota
171.0,0.01548740100042778,18,$m = n$,ours
223.0,0.10257996400014235,18,$m = n$,m-flow
1403.0,0.09726443700037635,19,$m = n$,sota
177.0,0.017171630000120786,19,$m = n$,ours
246.0,0.17506823500025348,19,$m = n$,m-flow
1630.0,0.11029873699953896,20,$m = n$,sota
191.0,0.019074807999459154,20,$m = n$,ours
250.0,0.1479643880002186,20,$m = n$,m-flow
,0.05026606899991748,3,$m = n$,sota
2.0,0.0018385280000075,3,$m = n$,ours
3.0,0.009030472000631562,3,$m = n$,m-flow
24.0,0.045651958999769704,4,$m = n$,sota
5.0,0.01870831399992312,4,$m = n$,ours
8.0,0.012231112000335997,4,$m = n$,m-flow
41.0,0.048946378999971785,5,$m = n$,sota
7.0,0.6825470580006368,5,$m = n$,ours
23.0,0.018630067999765743,5,$m = n$,m-flow
159.0,0.044685619000119914,6,$m = n$,sota
10.0,9.252759065000646,6,$m = n$,ours
30.0,0.020898365999528323,6,$m = n$,m-flow
260.0,0.04938813499938988,7,$m = n$,sota
18.0,0.38528564699936396,7,$m = n$,ours
23.0,0.018288551999830815,7,$m = n$,m-flow
263.0,0.04322698800024227,8,$m = n$,sota
22.0,2.7243646659999285,8,$m = n$,ours
28.0,0.06270362500072224,8,$m = n$,m-flow
554.0,0.04973039200012863,9,$m = n$,sota
43.0,0.00670482700024877,9,$m = n$,ours
62.0,0.033669243999611354,9,$m = n$,m-flow
594.0,0.0467297969998981,10,$m = n$,sota
49.0,0.4571217679995243,10,$m = n$,ours
63.0,0.033635149000474485,10,$m = n$,m-flow
756.0,0.04486719699980313,11,$m = n$,sota
55.0,0.3696497739992992,11,$m = n$,ours
91.0,0.04397570399942197,11,$m = n$,m-flow
515.0,0.0447258320000401,12,$m = n$,sota
60.0,0.3439323130005505,12,$m = n$,ours
89.0,0.04253498800062516,12,$m = n$,m-flow
843.0,0.04531236599996191,13,$m = n$,sota
77.0,0.3598824640002931,13,$m = n$,ours
106.0,0.049606268999923486,13,$m = n$,m-flow
991.0,0.07063071300035517,14,$m = n$,sota
102.0,0.011141689000396582,14,$m = n$,ours
142.0,0.05960849600069196,14,$m = n$,m-flow
1066.0,0.06839949400000478,15,$m = n$,sota
117.0,0.012344910000138043,15,$m = n$,ours
157.0,0.06683934400007274,15,$m = n$,m-flow
1185.0,0.0706917239995164,16,$m = n$,sota
124.0,0.013378018999901542,16,$m = n$,ours
184.0,0.0809006359995692,16,$m = n$,m-flow
1204.0,0.07906325799922342,17,$m = n$,sota
136.0,0.015031279000140785,17,$m = n$,ours
209.0,0.09107017099995574,17,$m = n$,m-flow
1215.0,0.08629092299997865,18,$m = n$,sota
153.0,0.01581179599997995,18,$m = n$,ours
231.0,0.10340372900009243,18,$m = n$,m-flow
1419.0,0.09910513700015144,19,$m = n$,sota
174.0,0.36168293499940773,19,$m = n$,ours
250.0,0.11828977999994095,19,$m = n$,m-flow
1725.0,0.10460885700013023,20,$m = n$,sota
195.0,0.019168992999766488,20,$m = n$,ours
251.0,0.20248755699958565,20,$m = n$,m-flow
,0.048346859000048426,3,$m = n$,sota
3.0,0.0013652349998665159,3,$m = n$,ours
4.0,0.008316562999425514,3,$m = n$,m-flow
25.0,0.048384041000645084,4,$m = n$,sota
6.0,0.3933043799997904,4,$m = n$,ours
8.0,0.010552923999966879,4,$m = n$,m-flow
62.0,0.045058050000079675,5,$m = n$,sota
9.0,0.3605923740005892,5,$m = n$,ours
13.0,0.013004278999687813,5,$m = n$,m-flow
151.0,0.044966992999434297,6,$m = n$,sota
17.0,0.041303211999547784,6,$m = n$,ours
23.0,0.016111062999698333,6,$m = n$,m-flow
221.0,0.04591179099952569,7,$m = n$,sota
16.0,0.927911946999302,7,$m = n$,ours
32.0,0.02534523399936006,7,$m = n$,m-flow
340.0,0.04683514200041827,8,$m = n$,sota
32.0,0.006461766000029456,8,$m = n$,ours
45.0,0.0307286090001071,8,$m = n$,m-flow
493.0,0.04675714600034553,9,$m = n$,sota
42.0,0.0066415490000508726,9,$m = n$,ours
52.0,0.03436951899948326,9,$m = n$,m-flow
663.0,0.04402212900004088,10,$m = n$,sota
45.0,0.007102159000169195,10,$m = n$,ours
71.0,0.03978631400059385,10,$m = n$,m-flow
697.0,0.04137114900004235,11,$m = n$,sota
51.0,0.3804877909997231,11,$m = n$,ours
63.0,0.03536527200049022,11,$m = n$,m-flow
809.0,0.0446039419994122,12,$m = n$,sota
69.0,0.009011439999994764,12,$m = n$,ours
101.0,0.04720926000027248,12,$m = n$,m-flow
928.0,0.04939915199975076,13,$m = n$,sota
88.0,0.009554541000397876,13,$m = n$,ours
123.0,0.05632334900019487,13,$m = n$,m-flow
972.0,0.05679423800029326,14,$m = n$,sota
95.0,0.0109553930005859,14,$m = n$,ours
141.0,0.0583791620001648,14,$m = n$,m-flow
1041.0,0.06960587499997928,15,$m = n$,sota
101.0,0.44612869699994917,15,$m = n$,ours
146.0,0.06157022000024881,15,$m = n$,m-flow
1280.0,0.07834796400038613,16,$m = n$,sota
123.0,0.013590293999186542,16,$m = n$,ours
179.0,0.07929987799980154,16,$m = n$,m-flow
1152.0,0.0783781979998821,17,$m = n$,sota
151.0,0.014942453999537975,17,$m = n$,ours
213.0,0.08796741400055907,17,$m = n$,m-flow
1599.0,0.08385108200036484,18,$m = n$,sota
156.0,0.015846305999730248,18,$m = n$,ours
238.0,0.10346592999940185,18,$m = n$,m-flow
1529.0,0.09841627100013284,19,$m = n$,sota
170.0,0.01664241399976163,19,$m = n$,ours
228.0,0.11677888200028974,19,$m = n$,m-flow
1591.0,0.11356039199927181,20,$m = n$,sota
198.0,0.018841693000467785,20,$m = n$,ours
279.0,0.21771657600038452,20,$m = n$,m-flow
,0.047365540999635414,3,$m = n$,sota
2.0,0.0019843489999402664,3,$m = n$,ours
3.0,0.009435840999685752,3,$m = n$,m-flow
19.0,0.044570159000613785,4,$m = n$,sota
6.0,0.03772538999965036,4,$m = n$,ours
9.0,0.010568311000497488,4,$m = n$,m-flow
154.0,0.04466434799996932,5,$m = n$,sota
10.0,0.36235049099923344,5,$m = n$,ours
15.0,0.013061296000159928,5,$m = n$,m-flow
286.0,0.044829724000010174,6,$m = n$,sota
16.0,2.881981659000303,6,$m = n$,ours
27.0,0.021396685000581783,6,$m = n$,m-flow
264.0,0.04463120299988077,7,$m = n$,sota
25.0,0.005357467999601795,7,$m = n$,ours
34.0,0.023858201000621193,7,$m = n$,m-flow
448.0,0.04630207100035477,8,$m = n$,sota
28.0,0.04605814600017766,8,$m = n$,ours
44.0,0.02735138400021242,8,$m = n$,m-flow
543.0,0.04441720700015139,9,$m = n$,sota
33.0,2.9041933660000723,9,$m = n$,ours
49.0,0.029269700999975612,9,$m = n$,m-flow
521.0,0.04382642400014447,10,$m = n$,sota
44.0,0.006753980000212323,10,$m = n$,ours
79.0,0.04486935799923231,10,$m = n$,m-flow
576.0,0.04748900100003084,11,$m = n$,sota
54.0,0.03917094799999177,11,$m = n$,ours
93.0,0.04513429399958113,11,$m = n$,m-flow
869.0,0.04849331399964285,12,$m = n$,sota
68.0,0.009119981000367261,12,$m = n$,ours
100.0,0.0477687929997046,12,$m = n$,m-flow
875.0,0.04920550099996035,13,$m = n$,sota
88.0,0.009992447000513494,13,$m = n$,ours
108.0,0.05161104600028921,13,$m = n$,m-flow
1064.0,0.05876464899938583,14,$m = n$,sota
76.0,0.4722495269998035,14,$m = n$,ours
112.0,0.053417723999700684,14,$m = n$,m-flow
1231.0,0.0780815669995718,15,$m = n$,sota
103.0,0.47740265500033274,15,$m = n$,ours
155.0,0.06716482899992116,15,$m = n$,m-flow
1269.0,0.07598141300059069,16,$m = n$,sota
133.0,0.011007877999873017,16,$m = n$,ours
176.0,0.07243003399980807,16,$m = n$,m-flow
1368.0,0.07481297599952086,17,$m = n$,sota
141.0,0.013154600999769173,17,$m = n$,ours
204.0,0.0940994069997032,17,$m = n$,m-flow
1318.0,0.08273484500023187,18,$m = n$,sota
151.0,0.015114967000044999,18,$m = n$,ours
218.0,0.13962041400009184,18,$m = n$,m-flow
1330.0,0.0962885479993929,19,$m = n$,sota
183.0,0.017188691000228573,19,$m = n$,ours
240.0,0.11851547900005244,19,$m = n$,m-flow
1755.0,0.11490154199964309,20,$m = n$,sota
195.0,0.019842548000269744,20,$m = n$,ours
266.0,0.1573197710004024,20,$m = n$,m-flow
21.0,0.04849392599953717,3,$m = n$,sota
3.0,0.001436888000171166,3,$m = n$,ours
5.0,0.008618894000392174,3,$m = n$,m-flow
63.0,0.04761149000023579,4,$m = n$,sota
6.0,0.37197298999944906,4,$m = n$,ours
8.0,0.010636916999828827,4,$m = n$,m-flow
118.0,0.04311403799965774,5,$m = n$,sota
8.0,2.9399181560002035,5,$m = n$,ours
12.0,0.013379678000092099,5,$m = n$,m-flow
191.0,0.04337916199983738,6,$m = n$,sota
14.0,0.9985112940003091,6,$m = n$,ours
28.0,0.021205599000495567,6,$m = n$,m-flow
62.0,0.04549933399994188,7,$m = n$,sota
15.0,0.033535533999383915,7,$m = n$,ours
32.0,0.023596132000420766,7,$m = n$,m-flow
326.0,0.0457861969998703,8,$m = n$,sota
28.0,0.006120690999523504,8,$m = n$,ours
40.0,0.030554896000467124,8,$m = n$,m-flow
416.0,0.04489330300020811,9,$m = n$,sota
34.0,0.386109850000139,9,$m = n$,ours
52.0,0.02960879200054478,9,$m = n$,m-flow
495.0,0.044369997999638144,10,$m = n$,sota
47.0,0.039793846999600646,10,$m = n$,ours
76.0,0.03792961499948433,10,$m = n$,m-flow
617.0,0.048132922999684524,11,$m = n$,sota
51.0,0.45529060299941193,11,$m = n$,ours
71.0,0.03891896799996175,11,$m = n$,m-flow
853.0,0.044279077000282996,12,$m = n$,sota
57.0,0.40504683700055466,12,$m = n$,ours
90.0,0.04635652199976903,12,$m = n$,m-flow
964.0,0.04777213999932428,13,$m = n$,sota
79.0,0.010178485999858822,13,$m = n$,ours
120.0,0.09766871900046681,13,$m = n$,m-flow
989.0,0.08022400099980587,14,$m = n$,sota
83.0,0.4605123269993783,14,$m = n$,ours
143.0,0.06227105800007848,14,$m = n$,m-flow
994.0,0.07748229000026186,15,$m = n$,sota
120.0,0.012084116000551148,15,$m = n$,ours
151.0,0.06701193200024136,15,$m = n$,m-flow
1299.0,0.08050819199979742,16,$m = n$,sota
125.0,0.0142392320003637,16,$m = n$,ours
175.0,0.07801430400013487,16,$m = n$,m-flow
1189.0,0.0817233550005767,17,$m = n$,sota
132.0,0.015055164999466797,17,$m = n$,ours
181.0,0.0834518970004865,17,$m = n$,m-flow
1396.0,0.09507303300051717,18,$m = n$,sota
159.0,0.016136489999553305,18,$m = n$,ours
204.0,0.09511341599954903,18,$m = n$,m-flow
1718.0,0.09931675299958442,19,$m = n$,sota
171.0,0.017480135000369046,19,$m = n$,ours
224.0,0.12203656299971044,19,$m = n$,m-flow
1708.0,0.1065433439998742,20,$m = n$,sota
190.0,0.01829024299968296,20,$m = n$,ours
251.0,0.15068786199935857,20,$m = n$,m-flow
2.0,0.04715530999965267,3,$m = n$,sota
2.0,0.0013154819998817402,3,$m = n$,ours
4.0,0.007911947000138753,3,$m = n$,m-flow
4.0,0.04884546999983286,4,$m = n$,sota
4.0,0.018104929999935848,4,$m = n$,ours
8.0,0.010897866000050271,4,$m = n$,m-flow
135.0,0.0430662669996309,5,$m = n$,sota
9.0,2.866556067999227,5,$m = n$,ours
13.0,0.013129433999893081,5,$m = n$,m-flow
51.0,0.04098874800001795,6,$m = n$,sota
9.0,11.906363172000056,6,$m = n$,ours
14.0,0.01586629599933076,6,$m = n$,m-flow
357.0,0.045373537999694236,7,$m = n$,sota
18.0,0.3356552080003894,7,$m = n$,ours
25.0,0.018581817999802297,7,$m = n$,m-flow
341.0,0.044299173000581504,8,$m = n$,sota
27.0,2.921221894000155,8,$m = n$,ours
39.0,0.026365306000116107,8,$m = n$,m-flow
456.0,0.04485550199933641,9,$m = n$,sota
36.0,0.4595990569996502,9,$m = n$,ours
70.0,0.03809317600007489,9,$m = n$,m-flow
585.0,0.04768906400022388,10,$m = n$,sota
45.0,0.362938877000488,10,$m = n$,ours
68.0,0.03641801300000225,10,$m = n$,m-flow
701.0,0.04605569100021967,11,$m = n$,sota
44.0,2.9520638189997044,11,$m = n$,ours
78.0,0.03900472599980276,11,$m = n$,m-flow
561.0,0.04621638000025996,12,$m = n$,sota
72.0,0.3738735850001831,12,$m = n$,ours
96.0,0.04628446699916822,12,$m = n$,m-flow
930.0,0.046200660999602405,13,$m = n$,sota
76.0,0.010197276000326383,13,$m = n$,ours
123.0,0.057196277999537415,13,$m = n$,m-flow
983.0,0.07159355000021606,14,$m = n$,sota
79.0,0.4684914370000115,14,$m = n$,ours
120.0,0.058632833999581635,14,$m = n$,m-flow
1052.0,0.07798354400074459,15,$m = n$,sota
114.0,0.012526962999800162,15,$m = n$,ours
142.0,0.06763830300042173,15,$m = n$,m-flow
1236.0,0.06915148200005206,16,$m = n$,sota
124.0,0.01390783700026077,16,$m = n$,ours
183.0,0.07765597399975377,16,$m = n$,m-flow
1242.0,0.07710783099992113,17,$m = n$,sota
149.0,0.014781523999772617,17,$m = n$,ours
205.0,0.08566021400019963,17,$m = n$,m-flow
1214.0,0.08959194399994885,18,$m = n$,sota
146.0,0.016726648999792815,18,$m = n$,ours
202.0,0.10222005299965531,18,$m = n$,m-flow
1362.0,0.09940864300006069,19,$m = n$,sota
180.0,0.018735765000201354,19,$m = n$,ours
231.0,0.12270522600010736,19,$m = n$,m-flow
1559.0,0.11467207100031374,20,$m = n$,sota
194.0,0.01876975899995159,20,$m = n$,ours
258.0,0.15463607999936357,20,$m = n$,m-flow
10.0,0.04713657299998886,3,$m = n$,sota
2.0,0.0012755790003211587,3,$m = n$,ours
3.0,0.008039124000788433,3,$m = n$,m-flow
123.0,0.04490582299968082,4,$m = n$,sota
6.0,0.39166314900012367,4,$m = n$,ours
9.0,0.010698391000005358,4,$m = n$,m-flow
148.0,0.04520869100088021,5,$m = n$,sota
10.0,0.4502450760001011,5,$m = n$,ours
14.0,0.012955590000274242,5,$m = n$,m-flow
147.0,0.0444646220003051,6,$m = n$,sota
13.0,0.03772712499994668,6,$m = n$,ours
16.0,0.01568536899958417,6,$m = n$,m-flow
251.0,0.04383895699993445,7,$m = n$,sota
26.0,0.005318282999724033,7,$m = n$,ours
31.0,0.019373555000129272,7,$m = n$,m-flow
309.0,0.04670635999991646,8,$m = n$,sota
26.0,0.4117360939999344,8,$m = n$,ours
32.0,0.021015545000409475,8,$m = n$,m-flow
479.0,0.04496923499937111,9,$m = n$,sota
43.0,0.006566289000147663,9,$m = n$,ours
58.0,0.0296402929998294,9,$m = n$,m-flow
541.0,0.04513506100011,10,$m = n$,sota
45.0,0.5124682149998989,10,$m = n$,ours
72.0,0.03603423799995653,10,$m = n$,m-flow
659.0,0.04700096200031112,11,$m = n$,sota
53.0,0.33711924699946394,11,$m = n$,ours
91.0,0.043830811000589165,11,$m = n$,m-flow
912.0,0.04562422699927993,12,$m = n$,sota
66.0,0.008614579999630223,12,$m = n$,ours
117.0,0.05122869000024366,12,$m = n$,m-flow
