,num_qubit,sparsity,baseline,ours,time
0,3,1,27,4,0.041896643000654876
1,3,2,10,4,0.008725071005756035
2,4,1,141,8,0.1408808889973443
3,4,2,241,4,0.35410895899985917
4,4,3,62,8,0.13794003300426994
5,5,1,237,24,0.26738153598853387
6,5,2,601,52,0.6607566110033076
7,5,3,527,52,0.6574681420024717
8,6,1,241,148,0.31318317700061016
9,6,2,645,444,0.9691227109869942
10,6,3,779,592,1.1659152329957578
11,7,1,311,236,0.3746736570028588
12,7,2,899,960,1.6407309509959305
13,7,3,1263,1704,3.088704448993667
14,8,1,395,436,0.43592598898976576
15,8,2,1335,2172,2.7191931550041772
16,8,3,2327,4780,5.663898300990695
17,9,1,493,748,0.636316784992232
18,9,2,1923,4436,3.5800634890038054
19,9,3,4107,11772,9.508402726991335
20,10,1,605,1308,0.758343209992745
21,10,2,2685,9004,5.1961669830052415
22,10,3,6767,28052,16.696402464993298
23,11,1,731,2276,0.9825464380119229
24,11,2,3643,17876,8.410545227001421
25,11,3,10553,64140,30.99945485900389
