,num_qubit,sparsity,baseline,ours,time
0,4,2,8,2,0.09420827500071027
1,4,2,8,2,0.005594680000285734
2,4,2,8,2,0.006031815000824281
3,4,2,14,3,0.005555106001338572
4,4,3,29,4,0.011813134000476566
5,4,3,34,5,0.011051262001274154
6,4,3,21,5,0.010822925998581923
7,4,3,11,3,0.0062443120004900265
8,4,3,10,4,0.009343526000520797
9,4,3,27,4,0.015445941999132629
10,4,3,5,4,0.021770741999716847
11,4,3,5,4,0.022582090001378674
12,4,3,24,4,0.008646435000628117
13,4,3,34,5,0.010892237000007299
14,4,4,17,6,0.018734781000603107
15,4,4,26,6,0.10856083799990301
16,4,4,17,6,0.02179166100177099
17,4,4,4,6,0.022994850000031875
18,4,4,13,7,0.1459597630000644
19,4,4,22,6,0.023935434999657446
20,4,4,19,6,0.023006720999546815
21,4,4,29,7,0.1451538969995454
22,4,4,5,6,0.020653094999943278
23,4,4,27,6,0.021030539999628672
24,4,5,24,8,0.5789865200003987
25,4,5,36,8,0.5733400469998742
26,4,5,36,8,0.6040495050001482
27,4,5,119,6,0.3243449590008822
28,4,5,20,8,0.6371567400001368
29,4,5,29,8,0.601830018000328
30,4,5,36,8,0.6024983469997096
31,4,5,29,8,0.6212531729997863
32,4,5,37,7,0.4484464229990408
33,4,6,38,9,2.929587481999988
34,4,6,23,5,0.20713261099990632
35,4,6,75,8,2.727639086999261
36,4,6,129,9,2.8533628420009336
37,4,6,137,8,2.8003412790003495
38,4,6,31,8,2.7844780390005326
39,4,6,93,10,2.948542484000427
40,4,6,36,8,2.613722948999566
41,4,6,42,3,0.008334763999300776
42,4,6,44,9,3.006213947001015
43,4,7,38,8,4.893005972999163
44,4,7,136,8,4.973385081999368
45,4,7,148,12,4.905021140999452
46,4,7,136,11,4.927528972999426
47,4,7,147,8,5.34655240200118
48,4,7,194,8,4.945633706000081
49,4,7,18,7,3.371260939999047
50,4,7,149,10,4.697403759000736
51,4,7,189,10,5.758994105999591
52,4,7,50,9,5.61041545900116
53,4,8,144,9,11.702517529998659
54,4,8,28,5,0.0409804709997843
55,4,8,124,7,2.9291568310000002
56,4,8,246,9,11.684687617000236
57,4,8,44,8,9.701882937000846
58,4,8,39,8,9.626300803998674
59,4,8,150,8,9.509098319998884
60,4,8,41,7,4.865369180999551
61,4,8,196,9,11.706776073000583
62,4,8,236,9,11.743677579999712
63,4,9,186,10,15.401242664000165
64,4,9,296,7,4.851670451998871
65,4,9,139,6,2.0210319440011517
66,4,9,45,9,13.460049766001248
67,4,9,79,10,15.32365588599896
68,4,9,146,11,16.02989727900058
69,4,9,244,6,2.01885160799975
70,4,9,196,10,15.814645036998627
71,4,9,134,10,15.54333725700053
72,4,9,134,10,15.9227589789989
73,4,10,98,11,22.27308735599945
74,4,10,52,10,22.061186712999188
75,4,10,345,11,6.101211101000445
76,4,10,250,10,20.544197662999068
77,4,10,144,9,18.15460911899936
78,4,10,237,11,22.10019265899973
79,4,10,22,6,1.0297817649989156
80,4,10,47,9,20.16820740000003
81,4,10,199,11,21.987792144000196
82,4,10,150,10,22.209035354999287
83,4,11,86,11,18.74975471900143
84,4,11,232,8,21.66390881299958
85,4,11,152,11,18.346178957999655
86,4,11,252,11,21.728568174999964
87,4,11,46,9,19.772235279000597
88,4,11,153,11,19.118552364001516
89,4,11,293,10,21.227570704000755
90,4,11,42,9,19.313793289000387
91,4,11,248,11,18.484925053000552
92,4,11,132,9,18.347746460000053
93,4,12,109,10,23.508661112999107
94,4,12,181,8,12.82011856600002
95,4,12,110,9,22.058136411000305
96,4,12,153,11,24.70783397899868
97,4,12,198,11,25.335609214000215
98,4,12,152,10,24.094868047001
99,4,12,204,10,23.558131965999564
100,4,12,42,11,24.843944622998606
101,4,12,398,9,18.692453073999786
102,4,12,341,10,23.79697006099741
103,4,13,146,8,11.989728834003472
104,4,13,198,10,25.04768863099889
105,4,13,132,9,20.683530808997602
106,4,13,50,10,24.683082026000193
107,4,13,348,11,26.41620095899998
108,4,13,45,9,18.36786614200173
109,4,13,130,8,12.180988321000768
110,4,13,248,10,24.592065731998446
111,4,13,140,9,18.956667717997334
112,4,13,144,10,25.338120376000006
113,4,14,21,7,3.5521149070009415
114,4,14,15,6,0.1579001629979757
115,4,14,146,7,3.498819487998844
116,4,14,154,8,9.812682168998435
117,4,14,191,8,9.76383193699803
118,4,14,146,7,3.495691938998789
119,4,14,148,8,9.790668412999366
120,4,14,30,7,3.7413681090001774
121,4,14,19,6,0.22422515600192128
122,4,14,34,6,0.1980380189997959
123,4,15,130,10,18.134354412999528
124,4,15,116,11,20.55024099200091
125,4,15,35,10,14.590659383000457
126,4,15,122,10,13.055965479998122
127,4,15,117,10,13.908180071997776
128,4,15,122,10,13.043536246997974
129,4,15,130,10,18.27105192700037
130,4,15,131,10,15.692791970999679
131,4,15,86,10,16.038562950998312
132,4,15,30,10,16.446861782998894
