,name,initial_method,n_qubits,m_state,n_g2_initial,time_initial,n_g2_qiskit,time_qiskit,n_g2_date24,time_date24,n_g2_bqskit_flow,time_bqskit_flow,n_g2_ours,time_ours
0,W,n_flow,3,3,6,0.005580333061516285,6,0.019660208141431212,4,0.0058232920709997416,3,5.15298029105179,3,0.00355300004594028
1,W,n_flow,4,4,14,0.003119083121418953,14,0.02433475013822317,7,0.3597295831423253,14,9.457252540858462,6,0.009110042126849294
2,W,m_flow,5,5,10,0.014802041929215193,8,0.152461624937132,11,0.04767670785076916,9,5.566561375046149,7,0.004322207998484373
3,W,m_flow,6,6,13,0.029070416931062937,10,0.10977895907126367,14,0.04912604112178087,11,6.018524874933064,9,0.006355958059430122
4,W,m_flow,7,7,16,0.058834999799728394,12,0.17939462489448488,17,0.053094583097845316,16,6.358614958822727,11,0.008134125033393502
5,W,m_flow,8,8,19,0.12247233302332461,14,0.25379241700284183,20,0.05929354205727577,17,5.579281457932666,13,0.010785666992887855
6,W,m_flow,9,9,22,0.24392933305352926,16,0.2453624999616295,23,0.06838175002485514,18,6.130257540848106,15,0.014838625211268663
7,Dicke,n_flow,3,3,6,0.0018355001229792833,6,0.010370791889727116,4,0.005708625074476004,3,5.380148499971256,3,0.00337033299729228
8,Dicke,n_flow,4,6,14,0.003075582906603813,14,0.019022082909941673,6,0.27376200002618134,14,12.55028362502344,8,0.012172625167295337
9,Dicke,n_flow,5,10,30,0.004917166894301772,30,0.031017249915748835,34,4.006155875045806,34,13.172833583084866,17,0.03604158293455839
10,Dicke,n_flow,6,20,62,0.009982333052903414,62,0.0680743339471519,64,0.0272939580027014,63,22.058216541074216,34,0.15842091711238027
11,Dicke,n_flow,7,35,126,0.019670291105285287,126,0.13246949994936585,128,0.04205737519077957,136,30.78355999989435,67,0.49190000002272427
12,Dicke,n_flow,8,70,254,0.04540699999779463,254,0.34906075010076165,256,0.08520166715607047,278,44.01572737493552,132,2.3613969581201673
13,Dicke,n_flow,9,126,510,0.11483512516133487,510,0.8167577080894262,512,0.17081487481482327,557,84.45931216608733,261,7.894714999943972
14,QBA-Dense,n_flow,3,5,6,0.001936791930347681,6,0.01118241692893207,4,0.2068350410554558,4,6.131223834119737,2,0.0034072091802954674
15,QBA-Dense,n_flow,4,9,14,0.0033882921561598778,14,0.02145220898091793,6,10.315827624872327,12,7.425907083088532,3,0.009606583043932915
16,QBA-Dense,n_flow,5,17,30,0.0062803339678794146,30,0.03659245790913701,23,0.05449962499551475,30,15.641600041883066,4,0.030049041844904423
17,QBA-Dense,n_flow,6,33,62,0.011928250081837177,62,0.07228583307005465,55,0.07110966695472598,77,18.87761537497863,5,0.10715504200197756
18,QBA-Dense,n_flow,7,65,126,0.025972124887630343,126,0.160286083817482,119,0.10281583294272423,134,19.67986329086125,6,0.4057494578883052
19,QBA-Dense,n_flow,8,129,254,0.05920991697348654,254,0.35608037491329014,247,0.18758616712875664,282,38.13305100006983,7,1.654451334150508
20,QBA-Dense,n_flow,9,257,510,0.20684358291327953,510,0.9039298328571022,503,0.36756279203109443,570,68.06916520907544,8,6.455251083010808
21,Random-Dense-Uniform,n_flow,3,4,4,0.0024626669473946095,4,0.010976165998727083,0,0.0017390830907970667,4,4.65433375001885,2,0.0019609578885138035
22,Random-Dense-Uniform,n_flow,4,8,14,0.0033506660256534815,14,0.020574292168021202,9,158.07705295900814,16,10.532019832869992,13,0.014544666977599263
23,Random-Dense-Uniform,n_flow,5,16,30,0.005274374969303608,30,0.03675987501628697,32,55.61070866603404,36,23.52230558404699,29,0.03948212484829128
24,Random-Dense-Uniform,n_flow,6,32,62,0.010132374940440059,62,0.08107433281838894,64,0.03346887486986816,83,32.71066504204646,61,0.19712758413515985
25,Random-Dense-Uniform,n_flow,7,64,126,0.02133791707456112,126,0.17210737499408424,128,0.05206104111857712,157,42.000466499943286,125,0.7415595829952508
26,Random-Dense-Uniform,n_flow,8,128,254,0.04592216690070927,254,0.44669216591864824,256,0.09702824987471104,297,56.60670733312145,253,3.3961133749689907
27,Random-Dense-Uniform,n_flow,9,256,510,0.19791808305308223,510,1.0960775408893824,512,0.23574895900674164,678,106.38078583381139,509,15.637785667087883
28,Random-Dense-Nonuniform,n_flow,3,4,6,0.00173270795494318,6,0.011873624986037612,5,0.16856199991889298,6,11.932764041936025,3,0.0037889168597757816
29,Random-Dense-Nonuniform,n_flow,4,8,14,0.003059166017919779,14,0.02451299992389977,16,170.7234858740121,18,14.44292987510562,11,0.012484833830967546
30,Random-Dense-Nonuniform,n_flow,5,16,30,0.00529691600240767,30,0.04093691613525152,32,0.04459408391267061,34,13.636043542064726,29,0.052529542008414865
31,Random-Dense-Nonuniform,n_flow,6,32,62,0.009974000044167042,62,0.0928673748858273,64,0.029877249849960208,74,27.915051667019725,61,0.18426404194906354
32,Random-Dense-Nonuniform,n_flow,7,64,126,0.02149266703054309,126,0.1870197090320289,128,0.05074687488377094,152,35.8288641248364,125,0.8651571250520647
33,Random-Dense-Nonuniform,n_flow,8,128,254,0.046002082992345095,254,0.39485083310864866,256,0.09515016712248325,336,61.34347470779903,253,3.304901875089854
34,Random-Dense-Nonuniform,n_flow,9,256,510,0.1299691661261022,510,1.153569209156558,512,0.2225455839652568,652,83.1167507499922,509,16.784578416962177
35,Random-Sparse-Uniform,n_flow,3,3,6,0.0017681668978184462,6,0.010986499954015017,3,0.0056547499261796474,5,9.285891833947971,2,0.003410083008930087
36,Random-Sparse-Uniform,n_flow,4,4,4,0.0014702498447149992,4,0.010584333911538124,0,0.001915832981467247,4,4.650476959068328,2,0.001857917057350278
37,Random-Sparse-Uniform,m_flow,5,5,12,0.01768420892767608,12,0.01568762492388487,10,1.4215345410630107,10,5.989850749960169,9,0.004765792051330209
38,Random-Sparse-Uniform,m_flow,6,6,19,0.06830295803956687,18,0.07510520797222853,18,0.04816799983382225,16,6.711024250136688,16,0.007469292031601071
39,Random-Sparse-Uniform,m_flow,7,7,20,0.10232520895078778,20,0.02139320899732411,19,0.034697958966717124,18,6.517093125032261,16,0.009408999932929873
40,Random-Sparse-Uniform,m_flow,8,8,25,0.7031641250941902,25,0.027114083990454674,23,0.4703031671233475,26,8.03779474995099,19,0.011678708018735051
41,Random-Sparse-Uniform,m_flow,9,9,34,1.0385819170624018,34,0.029502541990950704,33,0.5911169578321278,33,7.045270707923919,28,0.01889808289706707
42,Random-Sparse-Nonuniform,n_flow,3,3,2,0.001130957854911685,2,0.008922082837671041,2,0.005397000117227435,2,4.663052625022829,1,0.0015127500519156456
43,Random-Sparse-Nonuniform,n_flow,4,4,10,0.003186916932463646,10,0.0171961251180619,7,0.1739751249551773,10,10.554274208843708,5,0.0066703748889267445
44,Random-Sparse-Nonuniform,m_flow,5,5,9,0.013866125140339136,9,0.013334541814401746,9,0.24426408391445875,9,6.691744332900271,6,0.0044097499921917915
45,Random-Sparse-Nonuniform,m_flow,6,6,14,0.026461124885827303,12,0.135601291898638,14,0.35229241591878235,11,5.964396166848019,10,0.006793541833758354
46,Random-Sparse-Nonuniform,m_flow,7,7,20,0.15102033386938274,19,0.07449712487868965,21,0.11950104194693267,19,7.277262625051662,15,0.00925179198384285
47,Random-Sparse-Nonuniform,m_flow,8,8,26,0.46214529196731746,26,0.026715958025306463,24,0.5190845830366015,28,6.807104750070721,20,0.01197629189118743
48,Random-Sparse-Nonuniform,m_flow,9,9,37,0.9207065841183066,35,0.050912207923829556,38,0.1365248749498278,38,8.8177434168756,29,0.016705957939848304
