,name,initial_method,n_qubits,m_state,n_g2_initial,time_initial,n_g2_qiskit,time_qiskit,n_g2_bqskit_flow,time_bqskit_flow,n_g2_ours,time_ours
0,W,n_flow,3,3,6,0.0010736080002970994,6,0.007050001993775368,3,1.287471371004358,3,0.00142055400647223
1,W,n_flow,4,4,14,0.001369247998809442,14,0.011050373024772853,16,3.5488778589933645,6,0.0035950909950770438
2,W,m_flow,5,5,10,0.006913817021995783,8,0.05628151199198328,8,1.2878421719942708,7,0.0018020939896814525
3,W,m_flow,6,6,13,0.015794152015587315,10,0.08538374199997634,13,1.8338080269750208,9,0.002983482991112396
4,W,m_flow,7,7,16,0.031059993983944878,12,0.10004864202346653,13,1.6558770640112925,11,0.0034865280031226575
5,W,m_flow,8,8,19,0.06543062799028121,14,0.11273752700071782,15,1.3425234369933605,13,0.004200978990411386
6,W,m_flow,9,9,22,0.11687494599027559,16,0.1715174550190568,20,1.8092596659844276,15,0.005355155997676775
7,Dicke,n_flow,3,3,6,0.0007587129948660731,6,0.0055686729901935905,3,1.117745676980121,3,0.0013832839904353023
8,Dicke,n_flow,4,6,14,0.0013906880049034953,14,0.00935981099610217,13,4.637049940007273,8,0.004723630001535639
9,Dicke,n_flow,5,10,30,0.002231582999229431,30,0.015415738977026194,34,3.3617392930027563,17,0.012667003989918157
10,Dicke,n_flow,6,20,62,0.004227016994263977,62,0.032990373991196975,68,4.300427267997293,34,0.06118340400280431
11,Dicke,n_flow,7,35,126,0.014900098991347477,126,0.06979347500600852,137,8.66150257200934,67,0.18875579800806008
12,Dicke,n_flow,8,70,254,0.05257508298382163,254,0.2243290809856262,273,7.326332233991707,132,0.9133412320225034
13,Dicke,n_flow,9,126,510,0.06854762800503522,510,0.44057684499421157,568,12.82486469001742,261,2.9111848839966115
14,QBA-Dense,n_flow,3,5,6,0.00140554501558654,6,0.007531937008025125,4,1.6026140899921302,2,0.0013783950125798583
15,QBA-Dense,n_flow,4,9,14,0.0016887930105440319,14,0.009103960997890681,13,2.0778967050137,3,0.0037571619905065745
16,QBA-Dense,n_flow,5,17,30,0.002485987002728507,30,0.017474020016379654,30,2.8561762839963194,4,0.011499259009724483
17,QBA-Dense,n_flow,6,33,62,0.004939834005199373,62,0.032776606996776536,74,2.5426490630197804,5,0.03996021600323729
18,QBA-Dense,n_flow,7,65,126,0.010711592010920867,126,0.06888134899782017,126,3.3901348220242653,6,0.15740020101657137
19,QBA-Dense,n_flow,8,129,254,0.0648372349969577,254,0.23842235500342213,276,5.351344720023917,7,0.9344226509856526
20,QBA-Dense,n_flow,9,257,510,0.09114451898494735,510,0.48847791901789606,553,8.375823590991786,8,2.5457206350110937
21,Random-Dense-Uniform,n_flow,3,4,6,0.0011182499874848872,6,0.009538054000586271,6,3.84804598800838,3,0.0016307549958582968
22,Random-Dense-Uniform,n_flow,4,8,12,0.0012820660194847733,12,0.00888224202208221,13,2.7148924869834445,5,0.003987318981671706
23,Random-Dense-Uniform,n_flow,5,16,30,0.002199523994931951,30,0.01706553000258282,32,3.580802950018551,29,0.014128774986602366
24,Random-Dense-Uniform,n_flow,6,32,62,0.0041698610002640635,62,0.03820823700516485,77,5.91246321098879,61,0.06551287698675878
25,Random-Dense-Uniform,n_flow,7,64,126,0.015424694982357323,126,0.08435263199498877,149,7.479497716994956,125,0.3098173339967616
26,Random-Dense-Uniform,n_flow,8,128,254,0.04559964998043142,252,0.1913419269840233,323,10.463325429998804,253,1.153518429986434
27,Random-Dense-Uniform,n_flow,9,256,510,0.06681209700764157,510,0.568028712994419,579,12.562953843997093,509,5.943345434003277
28,Random-Dense-Nonuniform,n_flow,3,4,6,0.0008346030081156641,6,0.006115712982136756,6,3.3839045079948846,3,0.0015774350031279027
29,Random-Dense-Nonuniform,n_flow,4,8,14,0.0013474180013872683,14,0.010629429976688698,19,5.329517953010509,13,0.006589551019715145
30,Random-Dense-Nonuniform,n_flow,5,16,30,0.0023829050187487155,30,0.01957335599581711,34,5.286943068989785,29,0.015982484008418396
31,Random-Dense-Nonuniform,n_flow,6,32,62,0.004257152002537623,62,0.0406184809980914,79,4.8129640139814,61,0.07483745302306488
32,Random-Dense-Nonuniform,n_flow,7,64,126,0.019593902019551024,126,0.09154897200642154,148,7.60143372399034,125,0.31978352001169696
33,Random-Dense-Nonuniform,n_flow,8,128,254,0.04030098198563792,254,0.2160636960179545,296,11.595390657021198,253,1.3281541790056508
34,Random-Dense-Nonuniform,n_flow,9,256,510,0.06577515200478956,510,0.5209865949873347,612,10.828011719015194,509,5.601593112020055
35,Random-Sparse-Uniform,n_flow,3,3,6,0.0008365070098079741,5,0.01812587899621576,6,2.8440948670031503,2,0.001077065011486411
36,Random-Sparse-Uniform,n_flow,4,4,14,0.0012197600153740495,12,0.00939543399726972,12,4.289065231976565,6,0.0031989940034691244
37,Random-Sparse-Uniform,m_flow,5,5,11,0.008449674001894891,11,0.006670153990853578,10,1.4960022519808263,8,0.001855643989983946
38,Random-Sparse-Uniform,m_flow,6,6,18,0.019731910026166588,16,0.02043700299691409,18,2.7754294769838452,14,0.003409364988328889
39,Random-Sparse-Uniform,m_flow,7,7,20,0.045549244998255745,18,0.04194669102435,22,2.6945668580010533,16,0.0038002210203558207
40,Random-Sparse-Uniform,m_flow,8,8,30,0.17509144797804765,30,0.01453669200418517,26,1.743936238985043,25,0.006005798000842333
41,Random-Sparse-Uniform,m_flow,9,9,34,0.5148634869838133,34,0.01503889900050126,34,2.1417795140005182,30,0.007540071994299069
42,Random-Sparse-Nonuniform,n_flow,3,3,6,0.0006863869784865528,6,0.006372728996211663,5,4.0013931230059825,2,0.0010465070081409067
43,Random-Sparse-Nonuniform,n_flow,4,4,12,0.0012304300034884363,11,0.018348355981288478,11,1.4572163989942055,5,0.0027204630023334175
44,Random-Sparse-Nonuniform,m_flow,5,5,9,0.007471825985703617,8,0.037096073996508494,9,1.3946075509884395,7,0.0017908019945025444
45,Random-Sparse-Nonuniform,m_flow,6,6,20,0.038999609008897096,17,0.051534666010411456,18,1.2906363359943498,15,0.002869849995477125
46,Random-Sparse-Nonuniform,m_flow,7,7,21,0.06072694101021625,21,0.01150030200369656,21,2.4953031670011114,18,0.00458891101879999
47,Random-Sparse-Nonuniform,m_flow,8,8,36,0.13942489301552996,34,0.028707953984849155,34,1.6415366909932345,30,0.007174461003160104
48,Random-Sparse-Nonuniform,m_flow,9,9,37,0.3862626479822211,37,0.015582571009872481,37,1.4707878110057209,32,0.007522530999267474
49,Random-Dense-Uniform,n_flow,3,4,6,0.0008116700046230108,6,0.005602277000434697,6,3.1875511370017193,3,0.0015901180158834904
50,Random-Dense-Uniform,n_flow,4,8,14,0.0013551519950851798,14,0.00970784600940533,16,3.8942884969874285,13,0.004831489990465343
51,Random-Dense-Uniform,n_flow,5,16,30,0.0026837349869310856,30,0.019042487983824685,39,5.75853198900586,29,0.018381327972747386
52,Random-Dense-Uniform,n_flow,6,32,62,0.004082789004314691,62,0.03420615498907864,67,8.187289095978485,61,0.08114264899631962
53,Random-Dense-Uniform,n_flow,7,64,126,0.01576307602226734,126,0.08776536901132204,154,8.755923029006226,125,0.3015831490047276
54,Random-Dense-Uniform,n_flow,8,128,254,0.038033400021959096,254,0.26418713200837374,309,11.617484543996397,253,1.305352491006488
55,Random-Dense-Uniform,n_flow,9,256,510,0.07010991498827934,510,0.6056310209969524,687,13.98371271599899,509,5.517384967999533
56,Random-Dense-Nonuniform,n_flow,3,4,6,0.0008686559740453959,6,0.006299041997408494,6,8.047414403001312,3,0.0016881519986782223
57,Random-Dense-Nonuniform,n_flow,4,8,14,0.0013826120120938867,14,0.0110623269865755,14,3.3017232090060133,11,0.004898224986391142
58,Random-Dense-Nonuniform,n_flow,5,16,30,0.002396992000285536,30,0.01960742601659149,38,5.7475326800195035,29,0.017820863984525204
59,Random-Dense-Nonuniform,n_flow,6,32,62,0.004295432998333126,62,0.03800222199060954,83,4.677763115003472,61,0.07843781402334571
60,Random-Dense-Nonuniform,n_flow,7,64,126,0.015105089987628162,126,0.09108423598809168,155,8.243672567012254,125,0.3152757119969465
61,Random-Dense-Nonuniform,n_flow,8,128,254,0.04138690201216377,254,0.2301670830056537,311,9.261810447991593,253,1.2956375030044
62,Random-Dense-Nonuniform,n_flow,9,256,510,0.06612466799560934,510,0.6364436220028438,655,12.682404841005336,509,5.546655567013659
63,Random-Sparse-Uniform,n_flow,3,3,6,0.0008282009803224355,6,0.005985811003483832,5,2.6068088060128503,2,0.0012941689928993583
64,Random-Sparse-Uniform,n_flow,4,4,14,0.001332860003458336,14,0.00934201802010648,16,3.3478731159993913,3,0.0023464369878638536
65,Random-Sparse-Uniform,m_flow,5,5,8,0.007337628019740805,8,0.007067211001412943,8,1.3642468829930294,5,0.0017865539994090796
66,Random-Sparse-Uniform,m_flow,6,6,14,0.018245788000058383,11,0.04922772300778888,12,1.9777039460022934,11,0.002809739002259448
67,Random-Sparse-Uniform,m_flow,7,7,18,0.046346280025318265,17,0.04005293900263496,18,2.810276011005044,14,0.0036379609955474734
68,Random-Sparse-Uniform,m_flow,8,8,29,0.12023012997815385,26,0.05162607500096783,26,2.5718116470088717,23,0.005621693009743467
69,Random-Sparse-Uniform,m_flow,9,9,28,0.3473498079983983,26,0.02550667998730205,28,3.1077400899957865,23,0.006860826979391277
70,Random-Sparse-Nonuniform,n_flow,3,3,2,0.0004917559854220599,2,0.004459838994080201,2,1.0240314260008745,1,0.0006413939991034567
71,Random-Sparse-Nonuniform,n_flow,4,4,14,0.0012720070080831647,12,0.008393682015594095,12,3.621914862014819,6,0.003102863993262872
72,Random-Sparse-Nonuniform,m_flow,5,5,9,0.009039252996444702,9,0.007091696024872363,9,1.4753399259934667,6,0.001888553990283981
73,Random-Sparse-Nonuniform,m_flow,6,6,21,0.024833817005855963,19,0.021269963996019214,21,1.7327826939872466,19,0.0037070399848744273
74,Random-Sparse-Nonuniform,m_flow,7,7,22,0.05107703301473521,19,0.0548838609829545,20,2.5126573389861733,18,0.003945421980461106
75,Random-Sparse-Nonuniform,m_flow,8,8,30,0.16008427098859102,29,0.03982019500108436,29,1.9747945709968917,24,0.005388659017626196
76,Random-Sparse-Nonuniform,m_flow,9,9,34,1.1987913050106727,34,0.0192399560182821,34,2.522378354013199,28,0.010510652005905285
77,Random-Dense-Uniform,n_flow,3,4,6,0.000870460004080087,6,0.00569087199983187,6,3.6263355169794522,3,0.0017209920042660087
78,Random-Dense-Uniform,n_flow,4,8,14,0.0014797939802519977,14,0.009850811009528115,15,3.0616800890129525,10,0.004222296993248165
79,Random-Dense-Uniform,n_flow,5,16,30,0.0025446159997954965,28,0.01674486100091599,30,4.836441127001308,29,0.017778637004084885
80,Random-Dense-Uniform,n_flow,6,32,62,0.004443399026058614,58,0.033421979984268546,74,8.547631363995606,61,0.07891393100726418
81,Random-Dense-Uniform,n_flow,7,64,126,0.015444482007296756,126,0.08145744499051943,160,6.297733298997628,125,0.30228571902262047
82,Random-Dense-Uniform,n_flow,8,128,254,0.03858100899378769,254,0.2712465139920823,331,10.428879421000602,253,1.3458826830028556
83,Random-Dense-Uniform,n_flow,9,256,510,0.0646494620013982,510,0.5976503459969535,701,15.526307335007004,509,5.5434166099876165
84,Random-Dense-Nonuniform,n_flow,3,4,6,0.0008382900268770754,6,0.006045019981684163,6,3.729020112019498,3,0.001568598992889747
85,Random-Dense-Nonuniform,n_flow,4,8,14,0.0013445320073515177,14,0.010511893982766196,14,3.1006326370115858,11,0.004824971023481339
86,Random-Dense-Nonuniform,n_flow,5,16,30,0.0023523270210716873,30,0.02033383201342076,36,4.943600719998358,29,0.018053337989840657
87,Random-Dense-Nonuniform,n_flow,6,32,62,0.00431331800064072,62,0.040887483017286286,80,7.572031512972899,61,0.07920765900053084
88,Random-Dense-Nonuniform,n_flow,7,64,126,0.014577969996025786,126,0.09174896200420335,167,9.188238450005883,125,0.29812997399130836
89,Random-Dense-Nonuniform,n_flow,8,128,254,0.041483993001747876,254,0.2825584860111121,305,9.079381606978131,253,1.532677689974662
90,Random-Dense-Nonuniform,n_flow,9,256,510,0.06845007601077668,510,0.5905625149898697,616,14.226736262993654,509,5.378170885989675
