,name,initial_method,n_qubits,m_state,n_g2_initial,n_g_initial,time_initial,n_g2_ours,n_g_ours,time_ours,n_g2_pyzx,n_g_pyzx,time_pyzx,n_g2_date24,n_g_date24,time_date24,n_g2_qiskit,n_g_qiskit,time_qiskit
0,W,n_flow,3,3,6,5,0.0009755179999046959,3,4,0.0011116519963252358,5,19,0.0044259679998504,4,3,0.007177325001975987,6,18,0.006332470002234913
1,W,m_flow,6,6,13,10,0.014300399998319335,9,10,0.002459364004607778,19,46,0.012608135999471415,13,9,1.3390280280000297,10,55,0.1313296279986389
2,W,m_flow,9,9,22,16,0.12426795599458274,15,16,0.005724406997615006,34,76,1.1558436829946004,22,15,1.3785719520019484,16,90,0.15728712700365577
3,Dicke-Dense,n_flow,3,3,6,5,0.0007833100025891326,3,4,0.0010506079997867346,5,19,0.004099910001968965,4,3,0.0069098660023882985,6,18,0.004473054999834858
4,Dicke-Dense,n_flow,4,6,14,14,0.0013089389976812527,8,6,0.004054466000525281,14,61,0.011676228001306299,6,4,1.0196790609988966,14,53,0.008776344999205321
5,Dicke-Dense,n_flow,5,10,30,23,0.0031262660049833357,17,15,0.011235466998186894,30,115,0.02035948100092355,31,24,45.75482236799871,30,92,0.014295680994109716
6,Dicke-Dense,n_flow,6,20,62,59,0.004228449004585855,34,26,0.05222559899993939,62,282,0.08993126499990467,64,61,0.013435917004244402,62,232,0.031071710000105668
7,Dicke-Dense,n_flow,7,35,126,95,0.007786620000842959,67,64,0.1795464280003216,126,475,0.6614476120012114,128,97,0.03400836099899607,126,380,0.06644924800639274
8,Dicke-Sparse,n_flow,3,3,6,7,0.0008784360034042038,3,3,0.0012784220016328618,6,37,0.005013342000893317,4,3,0.0069604300006176345,6,28,0.005544531995838042
9,Dicke-Sparse,n_flow,4,6,14,14,0.001412841993442271,8,6,0.004176932998234406,14,61,0.0105600270035211,6,4,0.995932782003365,14,53,0.008392710005864501
10,Dicke-Sparse,n_flow,5,10,30,23,0.002171726999222301,17,15,0.01121666200197069,30,115,0.02046091699594399,31,24,46.18278877100238,30,92,0.01457212400418939
11,Dicke-Sparse,n_flow,6,15,62,60,0.003946003002056386,34,29,0.04141475399956107,62,295,0.0964572059965576,65,62,0.19615872799477074,62,239,0.032183121998969
12,Dicke-Sparse,n_flow,7,21,126,127,0.007229681999888271,67,63,0.12247033400490182,126,635,0.5908753389958292,129,129,0.22326902599888854,126,508,0.0723900480006705
13,Dicke-Sparse,m_flow,8,28,107,92,7.33934600000066,102,90,0.08824842899775831,107,429,1.2128364520031027,92,76,36.06934247600293,107,359,0.11062290200061398
14,Cyclic-Sparse,n_flow,3,3,2,3,0.0005428009972092696,1,3,0.0005170740041648969,2,15,0.0022636580033577047,2,3,0.0019253179998486303,2,12,0.0032763749986770563
15,Cyclic-Sparse,n_flow,4,7,6,7,0.0008469179956591688,5,7,0.0015814069993211888,6,35,0.005342634998669382,6,7,0.16457179300050484,6,28,0.007344917001319118
16,Cyclic-Sparse,n_flow,5,15,14,15,0.002474059998348821,13,15,0.007842274004360661,14,75,0.012267083002370782,16,18,0.23410762900311965,14,60,0.010036724001110997
17,Cyclic-Sparse,n_flow,6,31,30,31,0.0035573499990277924,29,31,0.0220125289997668,30,155,0.04985895900608739,32,34,0.24825305199919967,30,124,0.02175154400174506
18,Cyclic-Sparse,n_flow,7,63,62,63,0.007278271994437091,61,63,0.10343850500066765,62,315,0.23088972699770238,64,66,0.28150329899654025,62,252,0.05118910100281937
19,Cyclic-Sparse,n_flow,8,127,126,127,0.01622462300292682,125,127,0.3535023590011406,126,635,1.0920751149969874,128,130,0.3064934309950331,126,508,0.20473584099818254
20,Cyclic-Dense,n_flow,3,5,6,6,0.0008601120061939582,3,6,0.001306523998209741,6,25,0.00441309399320744,4,5,0.09731986399856396,6,23,0.005633337998006027
21,Cyclic-Dense,n_flow,4,9,14,14,0.0014182130034896545,6,9,0.003672594000818208,14,65,0.010180541001318488,6,7,4.541748950003239,14,55,0.008962931999121793
22,Cyclic-Dense,n_flow,5,17,30,30,0.0025971499999286607,10,12,0.011695793997205328,30,145,0.024297556003148202,22,23,4.491085925001244,30,119,0.01637151800241554
23,Cyclic-Dense,n_flow,6,33,62,62,0.005024202000640798,15,15,0.043359998999221716,62,305,0.14438571699429303,54,55,4.59649276699929,62,247,0.034272766002686694
24,Cyclic-Dense,n_flow,7,65,126,126,0.011310777001199313,21,18,0.18025284400209785,126,625,0.6120735200020135,118,119,4.5577140059976955,126,503,0.07593959400401218
25,Random-Dense-Uniform,n_flow,3,4,4,5,0.0007369429949903861,2,5,0.0008784770034253597,4,27,0.004027185001177713,0,3,0.0008562059956602752,4,17,0.0045145229960326105
26,Random-Dense-Uniform,n_flow,4,8,14,15,0.0014266889993450604,13,15,0.005240836995653808,14,75,0.01162312799715437,8,7,43.345137643998896,14,60,0.009555666998494416
27,Random-Dense-Uniform,n_flow,5,16,30,28,0.002374884999881033,29,28,0.012966472000698559,28,141,0.022690411999064963,33,31,83.91054109599645,28,112,0.016872562002390623
28,Random-Dense-Uniform,n_flow,6,32,62,63,0.0044187739986227825,61,63,0.07557093600189546,62,315,0.09510607599804644,66,67,0.22026831500261324,62,252,0.03531784399820026
29,Random-Dense-Uniform,n_flow,7,64,126,121,0.00903299199853791,125,121,0.26901337200251874,124,605,0.6179328020007233,128,123,0.049057545998948626,124,484,0.07812093800021103
30,Random-Dense-Nonuniform,n_flow,3,4,6,7,0.0008485709986416623,3,6,0.0013428320016828366,6,35,0.005143014001077972,5,6,0.08372052200138569,6,28,0.006081623003410641
31,Random-Dense-Nonuniform,n_flow,4,8,14,15,0.0013608759982162155,13,15,0.005011027998989448,14,75,0.011090986998169683,18,17,67.08914451899909,14,60,0.01004159599688137
