,n_qubits,m_state,target_state,n_cnot_old,n_cnot_new,time_old,time_new
0,3,3,0.76*|000> + 0.49*|001> + 0.44*|100>,2,1,0.0021598189996439032,0.0006103990017436445
1,3,3,0.58*|000> + 0.63*|011> + 0.52*|101>,4,3,0.0050352340003883,0.0007063880002533551
2,3,3,0.95*|011> + 0.28*|100> + 0.10*|110>,3,2,0.0015698090028308798,0.0005700330002582632
3,3,3,0.27*|001> + 0.51*|100> + 0.82*|110>,3,2,0.0015770419995533302,0.0005558169978030492
4,3,3,0.13*|001> + 0.55*|010> + 0.83*|011>,2,1,0.002647199002240086,0.0005124259987496771
5,3,3,0.18*|000> + 0.69*|101> + 0.70*|110>,4,3,0.00497645599898533,0.0007356230016739573
6,3,3,0.92*|000> + 0.39*|001> + 0.02*|100>,2,1,0.0015094769987626933,0.0004969670007994864
7,3,3,0.42*|010> + 0.56*|011> + 0.72*|101>,3,2,0.0027483080011734273,0.0005786799993074965
8,3,3,0.53*|000> + 0.04*|010> + 0.85*|101>,3,2,0.0016740440005378332,0.0005634310000459664
9,3,3,0.69*|000> + 0.37*|101> + 0.62*|111>,3,2,0.0015674239984946325,0.0005507770001713652
10,4,4,0.44*|0010> + 0.30*|0110> + 0.63*|0111> + 0.56*|1001>,6,5,0.05253876700226101,0.0013262050015327986
11,4,4,0.60*|0001> + 0.55*|1001> + 0.16*|1011> + 0.56*|1110>,5,3,0.042906615999527276,0.0011720370021066628
12,4,4,0.64*|0000> + 0.23*|0001> + 0.73*|1000> + 0.11*|1111>,6,4,0.047476580999500584,0.0014348880031320732
13,4,4,0.29*|0010> + 0.04*|0101> + 0.27*|1001> + 0.92*|1101>,6,4,0.06331627500185277,0.0012945650014444254
14,4,4,0.32*|1001> + 0.72*|1010> + 0.61*|1100> + 0.10*|1101>,5,3,0.056730791002337355,0.001391395999235101
15,4,4,0.19*|0000> + 0.13*|0010> + 0.94*|1001> + 0.25*|1011>,5,3,0.004214453998429235,0.0009584479994373396
16,4,4,0.66*|0100> + 0.38*|0101> + 0.59*|1001> + 0.27*|1110>,6,4,0.7176927069995145,0.001213514002301963
17,4,4,0.44*|0011> + 0.62*|0100> + 0.33*|1011> + 0.56*|1101>,6,4,0.06414401999791153,0.0012358460007817484
18,4,4,0.32*|0011> + 0.30*|1001> + 0.60*|1100> + 0.67*|1101>,5,3,0.0409522680020018,0.0011639820004347712
19,4,4,0.67*|0011> + 0.29*|0100> + 0.68*|0101> + 0.13*|1110>,6,4,0.621054939001624,0.001335611999820685
20,5,5,0.48*|00011> + 0.35*|01011> + 0.47*|01110> + 0.53*|10011> + 0.38*|11111>,8,5,6.4328850339989,0.0022136700026749168
21,5,5,0.44*|00011> + 0.18*|01001> + 0.41*|01100> + 0.54*|10000> + 0.57*|10110>,12,11,0.006767468999896664,0.0020734199970320333
22,5,5,0.66*|00100> + 0.54*|00110> + 0.38*|10000> + 0.33*|10100> + 0.12*|10111>,7,4,3.23640077500022,0.0020224530017003417
23,5,5,0.15*|00111> + 0.61*|01010> + 0.20*|01110> + 0.55*|10011> + 0.52*|10110>,9,6,7.027983983000013,0.0024846849992172793
24,5,5,0.49*|00000> + 0.36*|01010> + 0.04*|01011> + 0.74*|10110> + 0.28*|11010>,10,8,0.7069579500021064,0.0021010089985793456
25,5,5,0.47*|00001> + 0.52*|00101> + 0.43*|01001> + 0.56*|01011> + 0.04*|11010>,7,4,2.6796906529998523,0.0020923840020259377
26,5,5,0.23*|00000> + 0.34*|00011> + 0.01*|01110> + 0.58*|10000> + 0.71*|10001>,9,6,6.450531285998295,0.0024114689986163285
27,5,5,0.55*|00110> + 0.56*|01100> + 0.40*|10010> + 0.47*|10100> + 0.01*|10110>,8,5,6.557457023998722,0.0018936339984065853
28,5,5,0.45*|01010> + 0.62*|01101> + 0.58*|01111> + 0.28*|10011>,7,5,0.8042456539988052,0.0014705440007674042
29,5,5,0.45*|00101> + 0.34*|01010> + 0.72*|10000> + 0.37*|10001> + 0.15*|11110>,9,6,2.2612596959988878,0.0018334910018893424
30,6,6,0.49*|010000> + 0.25*|010001> + 0.41*|011011> + 0.03*|101001> + 0.69*|101100> + 0.23*|110010>,13,11,0.6357981999972253,0.0030838050006423146
31,6,6,0.31*|000010> + 0.30*|000111> + 0.52*|010000> + 0.56*|101101> + 0.20*|110110> + 0.43*|110111>,15,14,0.050775708001310704,0.0033734050011844374
32,6,6,0.58*|011011> + 0.58*|011100> + 0.20*|101010> + 0.28*|110000> + 0.32*|110111> + 0.33*|111100>,15,13,2.2411704340011056,0.0035733180011447985
33,6,6,0.19*|010001> + 0.23*|011101> + 0.76*|011110> + 0.32*|100000> + 0.14*|100011> + 0.46*|110010>,12,10,4.140823875000933,0.0029787590028718114
34,6,6,0.15*|001101> + 0.69*|010010> + 0.61*|010011> + 0.22*|011000> + 0.27*|100010> + 0.03*|111000>,12,8,5.616435285002808,0.0033742849991540425
