,num_qubit,sparsity,baseline,ours,time
0,3,2,3,0,0.11645184900044114
1,3,2,3,0,0.004542548000245006
2,3,2,3,1,0.004788784999618656
3,3,2,9,1,0.006104952999521629
4,3,2,2,0,0.004548147999230423
5,3,2,9,1,0.00496939000004204
6,3,2,2,0,0.004600664999088622
7,3,2,9,1,0.005661234999934095
8,3,2,8,2,0.0063071139993553516
9,3,2,2,0,0.004929628999889246
10,3,3,11,2,0.012046470001223497
11,3,3,4,2,0.005509000999154523
12,3,3,11,2,0.005089977999887196
13,3,3,5,2,0.005216642000959837
14,3,3,5,3,0.005379637999794795
15,3,3,3,3,0.005458826999529265
16,3,3,6,2,0.005212066000240156
17,3,3,11,2,0.0051244019996374846
18,3,3,5,3,0.005098143999930471
19,3,3,5,2,0.004863414998908411
20,3,3,3,3,0.005674908999935724
21,3,3,11,3,0.005400818999987678
22,3,3,5,4,0.00650840500020422
23,3,3,5,4,0.006733363999956055
24,3,3,3,3,0.005642991000058828
25,3,3,10,2,0.005342880000171135
26,3,3,11,3,0.005471026001032442
27,3,3,12,4,0.006687342998702661
28,3,3,5,3,0.005507395999302389
29,3,3,5,2,0.005887983999855351
30,3,3,27,4,0.006600445000003674
31,3,3,21,3,0.005782219001048361
32,3,3,21,3,0.005654872000377509
33,3,3,14,4,0.006796141000450007
34,3,3,10,3,0.005743496998547926
35,3,3,4,2,0.005574953000177629
36,3,3,4,3,0.00659224099945277
37,3,3,2,2,0.00549805899936473
38,3,3,9,2,0.0060627040002145804
39,3,3,10,4,0.006897621000462095
40,3,3,11,3,0.006613399998968816
41,3,3,4,3,0.006379313999786973
42,3,3,10,3,0.006028109000908444
43,3,3,4,3,0.007440700999723049
44,3,3,4,2,0.0056103989991243
45,3,3,2,2,0.00541914200039173
46,3,3,9,3,0.0062195669997890946
47,3,3,10,4,0.006848830000308226
48,3,3,11,3,0.005683334000423201
49,3,3,4,2,0.005218857000727439
50,3,3,8,3,0.005570133000219357
51,3,3,9,3,0.0062512759996025125
52,3,3,10,4,0.0066577130000951
53,3,3,3,3,0.007690809999985504
