,num_qubit,sparsity,baseline,ours,time
0,3,2,8,2,0.10344194099889137
1,3,2,8,2,0.005676970999047626
2,3,2,8,2,0.006668414000159828
3,3,2,8,2,0.005831202000990743
4,3,2,8,2,0.005596851999143837
5,3,2,8,2,0.005395648999183322
6,3,2,8,2,0.005600116001005517
7,3,2,8,2,0.00530638199961686
8,3,2,8,2,0.0055368920002365485
9,3,2,8,2,0.005450800999824423
10,3,3,8,3,0.012700667000899557
11,3,3,5,3,0.005646326000714907
12,3,3,11,3,0.006490963000032934
13,3,3,3,3,0.0078784959987388
14,3,3,27,4,0.007235582999783219
15,3,3,4,3,0.006444905999160255
16,3,3,10,4,0.0067132779986422975
17,3,3,10,4,0.007256670998685877
18,3,3,10,4,0.007137549000617582
19,3,3,11,3,0.005174515999897267
20,3,3,2,2,0.0056757399997877656
21,3,3,11,3,0.0051193130002502585
22,3,3,11,3,0.005010630000469973
23,3,3,3,3,0.0055812949995015515
24,3,3,4,3,0.0062456329997075954
25,3,3,4,2,0.005600982000032673
26,3,3,10,3,0.005760168000051635
27,3,3,9,3,0.005604218000371475
28,3,3,10,3,0.005834047000462306
29,3,3,5,4,0.006385747001331765
30,3,3,10,3,0.005828315999679035
31,3,3,2,2,0.005173825000383658
32,3,3,5,4,0.006459742000515689
33,3,3,5,3,0.0053061309990880545
34,3,3,10,4,0.006857225998828653
35,3,3,21,3,0.005765338999481173
36,3,3,2,2,0.005477250999319949
37,3,3,5,4,0.006711889000143856
38,3,3,5,3,0.005713481999919168
39,3,3,12,4,0.006669946000329219
40,3,3,10,3,0.005987143000311335
41,3,3,4,3,0.006714840999848093
42,3,3,10,4,0.007326471000851598
43,3,3,2,2,0.005828856999869458
44,3,3,5,4,0.006657323001491022
45,3,3,4,2,0.00572595499943418
46,3,3,5,4,0.006629049999901326
47,3,3,5,3,0.005592023000644986
48,3,3,3,3,0.0051803970000037225
49,3,3,5,4,0.006240054999580025
50,3,3,10,4,0.006977109998842934
51,3,3,2,2,0.005825209998874925
52,3,3,10,3,0.0057093349987553665
53,3,3,4,2,0.005564164001043537
54,3,3,3,3,0.007860446001359378
55,3,3,11,3,0.005404687000918784
56,3,3,2,2,0.00584202200116124
57,3,3,21,3,0.005778524999186629
58,3,3,2,2,0.005482991000462789
59,3,3,9,3,0.006306019000476226
60,3,3,4,2,0.005488331999004004
61,3,3,9,3,0.0057198550002794946
62,3,3,11,3,0.0064994990007107845
63,3,3,5,3,0.005679007999788155
64,3,3,4,2,0.005642790998535929
65,3,3,10,4,0.007488192000892013
66,3,3,21,3,0.005982864000543486
67,3,3,21,3,0.0059484679986780975
68,3,3,11,3,0.007785137999235303
69,3,3,2,2,0.0061177059997135075
70,3,3,21,3,0.006122153001342667
71,3,3,2,2,0.006055820998881245
72,3,3,11,3,0.0054562090008403175
73,3,3,11,3,0.005494944000020041
74,3,3,11,3,0.006935621999218711
75,3,3,9,3,0.006067882000934333
76,3,3,10,3,0.00601502399877063
77,3,3,4,3,0.006792004000089946
78,3,3,3,3,0.005739760999858845
79,3,3,5,3,0.005498049000379979
80,3,3,8,3,0.005592626999714412
81,3,3,4,2,0.005567670999880647
82,3,3,4,2,0.00562148800054274
83,3,3,11,3,0.005473403998621507
84,3,3,21,3,0.005856637999386294
85,3,3,2,2,0.00569323400122812
86,3,3,4,2,0.005715354000130901
87,3,3,11,3,0.005294290000165347
88,3,3,11,3,0.007580344999951194
89,3,3,27,4,0.006980856000154745
90,3,3,8,3,0.006178519999593846
91,3,4,18,5,0.015499492001254112
92,3,4,6,5,0.015308003999962239
93,3,4,12,5,0.01667648799957533
94,3,4,3,5,0.017485900001702248
95,3,4,10,1,0.005547011000089697
96,3,4,18,5,0.013837210999554372
97,3,4,12,5,0.015252532000886276
98,3,4,4,4,0.011079545000029611
