,num_qubit,sparsity,baseline,ours,time
0,3,3,4,3,0.10984515000018291
1,3,3,4,3,0.009272390998376068
2,3,3,2,2,0.00739002999762306
3,3,3,10,3,0.007675332999497186
4,3,3,12,4,0.00823058000241872
5,3,3,11,3,0.007485999001801247
6,3,3,5,3,0.007344314999500057
7,3,3,4,3,0.00852388600105769
8,3,3,3,3,0.009714586998597952
9,3,3,5,4,0.008667664998938562
10,4,4,19,6,0.02289531399947009
11,4,4,11,6,0.023860896999394754
12,4,4,24,6,0.10987452699919231
13,4,4,19,6,0.021306717000697972
14,4,4,34,5,0.01495135000004666
15,4,4,27,6,0.12273575499784783
16,4,4,31,6,0.12494731300103012
17,4,4,34,6,0.023948656002175994
18,4,4,24,5,0.01558451600067201
19,4,4,6,6,0.05605994800134795
20,5,5,38,9,0.8521702040015953
21,5,5,48,9,1.7487732810004673
22,5,5,42,10,21.7195808869983
23,5,5,139,9,20.76233671099908
24,5,5,38,9,4.34523483799785
25,5,5,137,9,20.031214915998135
26,5,5,89,9,19.791226123001252
27,5,5,32,8,13.562915629998315
28,5,5,163,9,19.827503503001935
29,5,5,35,9,0.8492628989988589
30,6,6,206,11,97.65288074199998
31,6,6,241,10,14.602671861997806
32,6,6,279,13,151.63266930700047
33,6,6,136,13,151.92120015399996
34,6,6,238,12,149.15046443100073
35,6,6,190,13,151.82474098599778
36,6,6,115,12,151.17751226999826
37,6,6,169,16,78.57137852100277
38,6,6,337,12,151.60109756100064
39,6,6,243,13,152.130950347997
40,7,7,324,22,20.733711361001042
41,7,7,255,18,6.708568390000437
42,7,7,243,18,759.8387682930006
43,7,7,222,19,729.3544816920003
44,7,7,184,20,5.894284787998913
45,7,7,233,20,831.7547014009979
46,7,7,194,12,260.46444214400253
47,7,7,324,19,851.7004584420029
48,7,7,267,17,12.552597791000153
